Student_Number,Task1_Score,Task1_Productivity,Task1_AI_Condition,Task2_Score,Task2_Productivity,Task2_AI_Condition,Task3_Score,Task3_Productivity,Task3_AI_Condition,Task4_Score,Task4_Productivity,Task4_AI_Condition,Task5_Score,Task5_Productivity,Task5_AI_Condition,Task6_Score,Task6_Productivity,Task6_AI_Condition
15947270bb099c07,30.0,0.5882352941176471,No AI,19.0,0.1266666666666666,Vincent,26.0,1.04,GPT 01,27.0,1.6875,No AI,22.0,0.6875,Vincent,29.0,1.380952380952381,GPT 01
6a370e860ed24357,30.0,0.5263157894736842,Vincent,23.0,0.1022222222222222,GPT 01,33.0,0.275,No AI,32.0,0.2711864406779661,Vincent,27.0,0.2523364485981308,GPT 01,23.0,0.1533333333333333,No AI
13b6a1020ad46272,18.0,0.3,GPT 01,6.0,0.05,No AI,30.0,2.0,Vincent,26.0,0.2888888888888888,GPT 01,7.0,0.25,No AI,10.0,0.2127659574468085,Vincent
e0a9f0ffff131843,27.0,0.574468085106383,Vincent,27.0,0.3698630136986301,GPT 01,30.0,0.25,No AI,27.0,0.2647058823529412,Vincent,21.0,0.328125,GPT 01,31.0,0.4696969696969697,No AI
4fdc1cc6f372410e,30.0,0.5,No AI,19.0,0.0974358974358974,Vincent,27.0,0.225,GPT 01,24.0,0.1548387096774193,No AI,21.0,0.1858407079646017,Vincent,31.0,0.2384615384615384,GPT 01
61cf76867144f7f2,13.0,0.2888888888888888,Vincent,23.0,0.132183908045977,GPT 01,21.0,0.175,No AI,27.0,0.2195121951219512,Vincent,27.0,0.6428571428571429,GPT 01,28.0,0.3294117647058823,No AI
7316aefcd59a0b74,11.0,0.275,No AI,17.0,0.320754716981132,Vincent,32.0,0.7619047619047619,GPT 01,26.0,0.5777777777777777,No AI,21.0,0.7241379310344828,Vincent,34.0,0.7083333333333334,GPT 01
ad4e0a23d55a9bc2,30.0,1.5789473684210529,Vincent,19.0,0.2,GPT 01,27.0,0.2934782608695652,No AI,30.0,0.6666666666666666,Vincent,16.0,0.32,GPT 01,12.0,0.1263157894736842,No AI
e08dd06e4e008462,21.0,0.8076923076923077,Vincent,19.0,0.3166666666666666,GPT 01,29.0,0.3866666666666666,No AI,31.0,0.5166666666666667,Vincent,11.0,0.2,GPT 01,12.0,0.1714285714285714,No AI
430c3b797887e240,7.0,0.21875,No AI,20.0,0.1666666666666666,Vincent,22.0,0.3666666666666666,GPT 01,12.0,0.1,No AI,19.0,0.2714285714285714,Vincent,25.0,0.2777777777777778,GPT 01
11d471df43205dfb,12.0,0.2553191489361702,Vincent,18.0,0.0878048780487804,GPT 01,22.0,0.2650602409638554,No AI,30.0,0.1923076923076923,Vincent,27.0,0.375,GPT 01,14.0,0.125,No AI
0fa325208d547822,12.0,0.48,GPT 01,18.0,0.2,No AI,27.0,0.9,Vincent,21.0,1.6153846153846154,GPT 01,24.0,0.8,No AI,18.0,1.2,Vincent
d1082f98da60718d,18.0,0.36,GPT 01,15.0,0.0714285714285714,No AI,22.0,0.44,Vincent,19.0,0.1055555555555555,GPT 01,12.0,0.3428571428571428,No AI,8.0,0.4,Vincent
f89651d646f1ab95,26.0,0.4727272727272727,No AI,22.0,0.0916666666666666,Vincent,32.0,0.5333333333333333,GPT 01,27.0,0.3,No AI,25.0,0.2083333333333333,Vincent,20.0,0.4,GPT 01
79d436c6314eda33,17.0,0.3777777777777777,No AI,7.0,0.0466666666666666,Vincent,26.0,1.04,GPT 01,25.0,0.1388888888888889,No AI,7.0,0.0583333333333333,Vincent,15.0,0.25,GPT 01
1532b47abfa256d4,15.0,0.2941176470588235,GPT 01,13.0,0.1065573770491803,No AI,26.0,0.268041237113402,Vincent,31.0,0.4769230769230769,GPT 01,14.0,0.2413793103448276,No AI,14.0,0.1359223300970873,Vincent
c1f9916910cd4128,16.0,0.2666666666666666,Vincent,19.0,0.0791666666666666,GPT 01,24.0,0.2,No AI,27.0,0.3,Vincent,30.0,0.4,GPT 01,18.0,0.12,No AI
544af5e3f23bd87a,18.0,0.4285714285714285,GPT 01,21.0,0.0878661087866108,No AI,26.0,0.5306122448979592,Vincent,27.0,0.313953488372093,GPT 01,23.0,0.184,No AI,33.0,0.4583333333333333,Vincent
33801e2d42ffddfc,19.0,0.3166666666666666,No AI,23.0,0.1022222222222222,Vincent,27.0,0.225,GPT 01,27.0,0.3,No AI,15.0,0.2,Vincent,13.0,0.1,GPT 01
9ee9f3b5b5934e01,10.0,0.238095238095238,GPT 01,10.0,0.0416666666666666,No AI,11.0,0.1833333333333333,Vincent,17.0,0.1888888888888888,GPT 01,11.0,0.0916666666666666,No AI,17.0,0.1888888888888888,Vincent
60f4a10cf0e76952,23.0,0.4423076923076923,No AI,13.0,0.1150442477876106,Vincent,27.0,0.75,GPT 01,31.0,0.5535714285714286,No AI,26.0,0.3421052631578947,Vincent,20.0,0.2816901408450704,GPT 01
446f96dc3003002c,31.0,0.5166666666666667,No AI,23.0,0.1229946524064171,Vincent,30.0,0.25,GPT 01,27.0,0.2783505154639175,No AI,21.0,0.2333333333333333,Vincent,32.0,0.2909090909090909,GPT 01
7eb33ecb29043786,23.0,0.8518518518518519,GPT 01,20.0,0.1290322580645161,No AI,25.0,0.2083333333333333,Vincent,12.0,0.16,GPT 01,23.0,0.3432835820895522,No AI,21.0,0.4468085106382978,Vincent
b0eea11d8aa104e7,22.0,0.6470588235294118,Vincent,12.0,0.05,GPT 01,22.0,0.1833333333333333,No AI,29.0,0.1726190476190476,Vincent,21.0,0.1693548387096774,GPT 01,13.0,0.0866666666666666,No AI
eb6be2f6ae0e29b1,19.0,0.6333333333333333,Vincent,17.0,0.3777777777777777,GPT 01,29.0,0.3052631578947368,No AI,25.0,0.4166666666666667,Vincent,25.0,0.625,GPT 01,11.0,0.1833333333333333,No AI
f3e93859c85d9caf,9.0,0.1698113207547169,No AI,14.0,0.2545454545454545,Vincent,22.0,0.2933333333333333,GPT 01,25.0,1.0869565217391304,No AI,2.0,0.0588235294117647,Vincent,25.0,0.2840909090909091,GPT 01
8917388e20196b3b,25.0,0.4545454545454545,No AI,23.0,0.5111111111111111,Vincent,22.0,0.55,GPT 01,31.0,0.5166666666666667,No AI,21.0,0.42,Vincent,26.0,0.8666666666666667,GPT 01
