Student_Number,Student_Name,GPA,Student_Type,AI_Use
9e2e00fa7c285ff5,9e2e00fa7c285ff5,2.92,2.0,1.0
b0eea11d8aa104e7,b0eea11d8aa104e7,3.366,2.0,2.0
ad4e0a23d55a9bc2,ad4e0a23d55a9bc2,3.33,2.0,4.0
22357cb4b713c556,22357cb4b713c556,3.4,2.0,1.0
eab55a7284651fe8,eab55a7284651fe8,3.68,1.0,5.0
1bcba07e11b7af99,1bcba07e11b7af99,3.12,1.0,1.0
8917388e20196b3b,8917388e20196b3b,3.067,2.0,5.0
33801e2d42ffddfc,33801e2d42ffddfc,3.4,2.0,2.0
8a8a16cd60695e63,8a8a16cd60695e63,2.548,1.0,1.0
d2aff30970fe0d4c,d2aff30970fe0d4c,3.63,2.0,2.0
889b30f2a988ff0a,889b30f2a988ff0a,3.02,1.0,2.0
3088c17c41bb79cf,3088c17c41bb79cf,3.76,2.0,1.0
8e8ec402ff41e278,8e8ec402ff41e278,3.58,2.0,2.0
421124a6a4ec2792,421124a6a4ec2792,3.3,2.0,3.0
1f60b1ad89313d0d,1f60b1ad89313d0d,3.4,2.0,1.0
8c09cd568a2f07d6,8c09cd568a2f07d6,,3.0,4.0
5e4dc1276a5cbfd1,5e4dc1276a5cbfd1,2.8,2.0,2.0
8b9bdb0a143ba05b,8b9bdb0a143ba05b,3.1,2.0,5.0
11d471df43205dfb,11d471df43205dfb,3.5,1.0,2.0
e08dd06e4e008462,e08dd06e4e008462,3.427,2.0,1.0
a6a04fd22939f38a,a6a04fd22939f38a,3.16,1.0,2.0
d8bb952342c588bb,d8bb952342c588bb,2.6,1.0,3.0
065a189f3e847a38,065a189f3e847a38,2.6,2.0,2.0
7c4f2cdf9a7ba025,7c4f2cdf9a7ba025,2.95,1.0,2.0
81703482b559611e,81703482b559611e,2.555,2.0,5.0
17a215d736ecc60d,17a215d736ecc60d,3.453,2.0,2.0
b066caa360c869a0,b066caa360c869a0,3.1950150011539344,1.0,5.0
6ec4e59da50d8f3a,6ec4e59da50d8f3a,3.83,2.0,1.0
2bfdab79d93e7bce,2bfdab79d93e7bce,3.84,2.0,3.0
13b6a1020ad46272,13b6a1020ad46272,3.091,1.0,5.0
7316aefcd59a0b74,7316aefcd59a0b74,3.5,1.0,2.0
98bd1346a5fce77b,98bd1346a5fce77b,3.27,2.0,2.0
eb6be2f6ae0e29b1,eb6be2f6ae0e29b1,3.0,1.0,2.0
69d5d27764fbbaac,69d5d27764fbbaac,3.55,2.0,2.0
29041031c3d5738c,29041031c3d5738c,3.979,1.0,2.0
eb817297c2e6d83a,eb817297c2e6d83a,3.639,2.0,2.0
75bfae39ea7d8d5b,75bfae39ea7d8d5b,3.3,1.0,2.0
8944194b2121b319,8944194b2121b319,3.2,2.0,1.0
eb0657499c70202f,eb0657499c70202f,3.694,2.0,3.0
05c223da1342eb22,05c223da1342eb22,3.483,1.0,2.0
15947270bb099c07,15947270bb099c07,3.682,1.0,2.0
17ca821110ac1fa2,17ca821110ac1fa2,3.3,2.0,1.0
422317341c3e815e,422317341c3e815e,3.57,1.0,4.0
e74d00befb08510a,e74d00befb08510a,3.04,1.0,2.0
e0a9f0ffff131843,e0a9f0ffff131843,3.186,1.0,2.0
7384d11c263ac7d9,7384d11c263ac7d9,3.57,1.0,2.0
8a1109561512c218,8a1109561512c218,,3.0,5.0
191cebe1180b87c5,191cebe1180b87c5,2.96,1.0,1.0
f418aa093c4203e9,f418aa093c4203e9,3.2,2.0,5.0
60f4a10cf0e76952,60f4a10cf0e76952,3.7,2.0,2.0
9ee9f3b5b5934e01,9ee9f3b5b5934e01,3.4,1.0,1.0
d1082f98da60718d,d1082f98da60718d,2.0,1.0,3.0
f89651d646f1ab95,f89651d646f1ab95,3.6,1.0,5.0
0fa325208d547822,0fa325208d547822,3.4,2.0,5.0
5eb1b92aee244e2a,5eb1b92aee244e2a,,3.0,3.0
1167a8417b14a001,1167a8417b14a001,3.3,2.0,2.0
6a370e860ed24357,6a370e860ed24357,3.4,1.0,3.0
ddbc5bb6018f9e0f,ddbc5bb6018f9e0f,3.0,1.0,3.0
4fdc1cc6f372410e,4fdc1cc6f372410e,2.5,1.0,3.0
4c56c0d8e61ed412,4c56c0d8e61ed412,3.88,2.0,3.0
efbfc0f029c0ac5f,efbfc0f029c0ac5f,3.0,2.0,2.0
8b3794f02b5e4db5,8b3794f02b5e4db5,3.373,2.0,2.0
02a6298460b477ce,02a6298460b477ce,3.62,2.0,3.0
f3e93859c85d9caf,f3e93859c85d9caf,3.46,1.0,1.0
7dd7e803832f1b53,7dd7e803832f1b53,3.42,1.0,3.0
c93c749489f4cc74,c93c749489f4cc74,3.369,2.0,4.0
de22252a67fcc399,de22252a67fcc399,3.6,1.0,2.0
63f3737ed386432b,63f3737ed386432b,3.48,2.0,5.0
7fb6a95e77f2886e,7fb6a95e77f2886e,3.923,1.0,4.0
069503ef9c782673,069503ef9c782673,3.227,1.0,3.0
4145e4dd01e45431,4145e4dd01e45431,3.091,1.0,1.0
544af5e3f23bd87a,544af5e3f23bd87a,3.8,1.0,2.0
