Student_Number,P1_Criteria_1_Accuracy,P1_Criteria_2_Analysis,P1_Criteria_3_Organization,P1_Criteria_4_Clarity,P1_Criteria_5_Professionalism,P1_Total_Score,P1_Grade,P1_Hallucination,P1_Hallucination_Note,P1_Notes,Time_Spent_Assignment_1,Group,AI_Condition,P1_Productivity
c1f9916910cd4128,2.0,2.0,3.0,3.0,6.0,16.0,B-,,,,60.0,C,Vincent,0.2666666666666666
7316aefcd59a0b74,2.0,2.0,2.0,2.0,3.0,11.0,C+, ,,,40.0,A,No AI,0.275
1167a8417b14a001,6.0,6.0,7.0,7.0,6.0,32.0,A-,,,,49.0,A,No AI,0.6530612244897959
5eb1b92aee244e2a,2.0,2.0,2.0,2.0,2.0,10.0,C+,,,,37.0,A,No AI,0.2702702702702703
065a189f3e847a38,5.0,4.0,5.0,6.0,4.0,24.0,B+,,,,60.0,A,No AI,0.4
865d47f31de717c9,1.0,2.0,4.0,4.0,3.0,14.0,B-,,,,15.0,C,Vincent,0.9333333333333332
1777a66aff697497,5.0,5.0,4.0,6.0,6.0,26.0,B+,,,,60.0,C,Vincent,0.4333333333333333
6ec4e59da50d8f3a,2.0,3.0,4.0,5.0,5.0,19.0,B,,,,40.0,B,GPT 01,0.475
4fdc1cc6f372410e,6.0,6.0,6.0,5.0,7.0,30.0,A-,,,,60.0,A,No AI,0.5
ddbc5bb6018f9e0f,4.0,4.0,4.0,4.0,6.0,22.0,B ,,,,20.0,C,Vincent,1.1
1bcba07e11b7af99,6.0,5.0,6.0,7.0,7.0,31.0,A-,,,,55.0,B,GPT 01,0.5636363636363636
4c56c0d8e61ed412,6.0,7.0,7.0,6.0,7.0,33.0,A,,,,50.0,C,Vincent,0.66
3d53c1b0295b9a26,2.0,3.0,3.0,5.0,4.0,17.0,B- ,,,,60.0,A,No AI,0.2833333333333333
544af5e3f23bd87a,2.0,3.0,4.0,5.0,4.0,18.0,B-,,,,42.0,B,GPT 01,0.4285714285714285
f3ca044a6fc18861,4.0,3.0,3.0,5.0,5.0,20.0,B ,,,,38.0,C,Vincent,0.5263157894736842
ad4e0a23d55a9bc2,5.0,5.0,6.0,7.0,7.0,30.0,A-,,,,19.0,C,Vincent,1.5789473684210529
9109b13b11fd7782,5.0,5.0,5.0,4.0,4.0,23.0,B+,,,,50.0,A,No AI,0.46
6a370e860ed24357,6.0,5.0,6.0,7.0,6.0,30.0,A- ,,,,57.0,C,Vincent,0.5263157894736842
5c031f15ede898cb,5.0,4.0,5.0,5.0,5.0,24.0,B+,,,,60.0,C,Vincent,0.4
13b6a1020ad46272,2.0,3.0,3.0,5.0,5.0,18.0,B,,,,60.0,B,GPT 01,0.3
7c4f2cdf9a7ba025,7.0,6.0,6.0,7.0,7.0,33.0,A,,,,20.0,B,GPT 01,1.65
c55ed9175b0738c2,6.0,5.0,6.0,7.0,7.0,31.0,A-,,,,57.0,B,GPT 01,0.543859649122807
e0586dd6ba414274,3.0,4.0,4.0,4.0,4.0,19.0,B,,,,60.0,A,No AI,0.3166666666666666
7e107a9c0ebdc482,6.0,7.0,7.0,5.0,7.0,32.0,A-,,,,56.0,C,Vincent,0.5714285714285714
2bfdab79d93e7bce,3.0,3.0,3.0,6.0,5.0,20.0,B ,,,,30.0,B,GPT 01,0.6666666666666666
f4534ca99db52354,1.0,2.0,2.0,4.0,6.0,15.0,B-,,,,42.0,B,GPT 01,0.3571428571428571
889b30f2a988ff0a,6.0,5.0,6.0,6.0,6.0,29.0,A-,,,,59.0,B,GPT 01,0.4915254237288136
efbfc0f029c0ac5f,3.0,4.0,5.0,5.0,5.0,22.0,B,,,,30.0,C,Vincent,0.7333333333333333
1532b47abfa256d4,1.0,2.0,4.0,5.0,3.0,15.0,B-,,,,51.0,B,GPT 01,0.2941176470588235
824bb66524753233,6.0,6.0,7.0,6.0,7.0,32.0,A- ,,,,60.0,C,Vincent,0.5333333333333333
f89651d646f1ab95,5.0,5.0,4.0,5.0,7.0,26.0,B+,,,,55.0,A,No AI,0.4727272727272727
02a6298460b477ce,4.0,2.0,4.0,6.0,2.0,18.0,B,,,,60.0,B,GPT 01,0.3
3b79cd5d4dc9545c,4.0,4.0,4.0,6.0,6.0,24.0,B+,,,,35.0,C,Vincent,0.6857142857142857
81703482b559611e,1.0,2.0,4.0,5.0,4.0,16.0,B,,,,26.0,B,GPT 01,0.6153846153846154
8b3794f02b5e4db5,4.0,5.0,4.0,6.0,4.0,23.0,B+,,,,16.0,C,Vincent,1.4375
79d436c6314eda33,2.0,3.0,4.0,5.0,3.0,17.0,B- ,,,,45.0,A,No AI,0.3777777777777777
9be12b158467797d,5.0,5.0,4.0,5.0,6.0,25.0,B+ ,,,,36.0,C,Vincent,0.6944444444444444
820ef4cb24626154,6.0,7.0,6.0,5.0,7.0,31.0,A-,,,,50.0,B,GPT 01,0.62
b342e13cf1dcabea,4.0,4.0,4.0,4.0,5.0,21.0,B ,,,,43.0,C,Vincent,0.4883720930232558
bfd51df7115d0bee,3.0,5.0,5.0,6.0,6.0,25.0,B+,,,,42.0,B,GPT 01,0.5952380952380952
8fd8eb1d02d74b73,2.0,2.0,3.0,3.0,4.0,14.0,B-,,,,57.0,A,No AI,0.2456140350877192
60f4a10cf0e76952,4.0,4.0,4.0,5.0,6.0,23.0,B+,,,,52.0,A,No AI,0.4423076923076923
f7b9fdfc04c988ab,4.0,3.0,3.0,5.0,3.0,18.0,B,,,,58.0,A,No AI,0.3103448275862069
446f96dc3003002c,6.0,6.0,6.0,6.0,7.0,31.0,A-,,,,60.0,A,No AI,0.5166666666666667
d2aff30970fe0d4c,5.0,6.0,6.0,5.0,6.0,28.0,A-,,,,48.0,C,Vincent,0.5833333333333334
7f1b0f735e644984,4.0,4.0,3.0,6.0,7.0,24.0,B+,,,,55.0,B,GPT 01,0.4363636363636363
742df284c8614f30,2.0,3.0,3.0,5.0,4.0,17.0,B-,,,,59.0,C,Vincent,0.288135593220339
