Student_Number,P3_Criteria_1_Accuracy,P3_Criteria_2_Analysis,P3_Criteria_3_Organization,P3_Criteria_4_Clarity,P3_Criteria_5_Professionalism,P3_Total_Score,P3_Grade,P3_Hallucination,P3_Notes,Time_Spent_Assignment_3,Group,AI_Condition
c1f9916910cd4128,4.0,6.0,5.0,4.0,5.0,24.0,B+,,,120.0,C,No AI
7316aefcd59a0b74,7.0,6.0,7.0,6.0,6.0,32.0,A-,,,42.0,A,GPT 01
1167a8417b14a001,6.0,5.0,5.0,5.0,6.0,27.0,B+,,,45.0,A,GPT 01
ec2ed9ca82601e42,,,,,,,,,,,A,GPT 01
5eb1b92aee244e2a,7.0,7.0,7.0,6.0,5.0,32.0,A-,,,95.0,A,GPT 01
065a189f3e847a38,7.0,6.0,6.0,6.0,7.0,32.0,A-,,,105.0,A,GPT 01
865d47f31de717c9,3.0,4.0,4.0,3.0,3.0,17.0,B-,1.0,hallucinations- made up case,105.0,C,No AI
1777a66aff697497,5.0,4.0,4.0,5.0,4.0,22.0,B,,,,C,No AI
6ec4e59da50d8f3a,6.0,5.0,6.0,5.0,5.0,27.0,B+,,,95.0,B,Vincent
353f2cb98f3467b5,,,,,,,,,,,C,No AI
4fdc1cc6f372410e,5.0,6.0,6.0,5.0,5.0,27.0,B+,,,120.0,A,GPT 01
ddbc5bb6018f9e0f,5.0,5.0,4.0,4.0,4.0,22.0,B,,,102.0,C,No AI
1bcba07e11b7af99,7.0,7.0,6.0,6.0,6.0,32.0,A-,,,85.0,B,Vincent
4c56c0d8e61ed412,6.0,7.0,6.0,6.0,6.0,31.0,A-,,,120.0,C,No AI
3d53c1b0295b9a26,7.0,6.0,6.0,6.0,6.0,31.0,A-,,,90.0,A,GPT 01
544af5e3f23bd87a,5.0,5.0,5.0,5.0,6.0,26.0,B+,,,49.0,B,Vincent
f3ca044a6fc18861,,,,,,,,,,,C,No AI
ad4e0a23d55a9bc2,6.0,5.0,5.0,6.0,5.0,27.0,B+,,,92.0,C,No AI
9109b13b11fd7782,5.0,5.0,4.0,4.0,4.0,22.0,B,,,120.0,A,GPT 01
6a370e860ed24357,7.0,7.0,7.0,6.0,6.0,33.0,A,,,120.0,C,No AI
5c031f15ede898cb,,,,,,,,,,,C,No AI
8f7e1a35f9425a0e,,,,,,,,,,,B,Vincent
13b6a1020ad46272,5.0,7.0,6.0,6.0,6.0,30.0,A-,,,15.0,B,Vincent
7c4f2cdf9a7ba025,6.0,5.0,5.0,5.0,5.0,26.0,B+,,,20.0,B,Vincent
c55ed9175b0738c2,,,,,,,,,,,B,Vincent
33c5096295ad6e13,,,,,,,,,,,C,No AI
b382a87f990db71a,,,,,,,,,,,C,No AI
e0586dd6ba414274,6.0,6.0,6.0,6.0,7.0,31.0,A-,,,113.0,A,GPT 01
7e107a9c0ebdc482,7.0,7.0,6.0,6.0,7.0,33.0,A,,,118.0,C,No AI
2bfdab79d93e7bce,7.0,6.0,6.0,6.0,6.0,31.0,A-,,,70.0,B,Vincent
