Student_Number,P3_Criteria_1_Accuracy,P3_Criteria_2_Analysis,P3_Criteria_3_Organization,P3_Criteria_4_Clarity,P3_Criteria_5_Professionalism,P3_Total_Score,P3_Grade,P3_Hallucination,P3_Notes,Time_Spent_Assignment_3,Group,AI_Condition,P3_Productivity
c1f9916910cd4128,4.0,6.0,5.0,4.0,5.0,24.0,B+,,,120.0,C,No AI,0.2
7316aefcd59a0b74,7.0,6.0,7.0,6.0,6.0,32.0,A-,,,42.0,A,GPT 01,0.7619047619047619
1167a8417b14a001,6.0,5.0,5.0,5.0,6.0,27.0,B+,,,45.0,A,GPT 01,0.6
ec2ed9ca82601e42,,,,,,,,,,,A,GPT 01,
5eb1b92aee244e2a,7.0,7.0,7.0,6.0,5.0,32.0,A-,,,95.0,A,GPT 01,0.3368421052631579
065a189f3e847a38,7.0,6.0,6.0,6.0,7.0,32.0,A-,,,105.0,A,GPT 01,0.3047619047619048
865d47f31de717c9,3.0,4.0,4.0,3.0,3.0,17.0,B-,1.0,hallucinations- made up case,105.0,C,No AI,0.1619047619047619
1777a66aff697497,5.0,4.0,4.0,5.0,4.0,22.0,B,,,,C,No AI,
6ec4e59da50d8f3a,6.0,5.0,6.0,5.0,5.0,27.0,B+,,,95.0,B,Vincent,0.28421052631578947
353f2cb98f3467b5,,,,,,,,,,,C,No AI,
4fdc1cc6f372410e,5.0,6.0,6.0,5.0,5.0,27.0,B+,,,120.0,A,GPT 01,0.225
ddbc5bb6018f9e0f,5.0,5.0,4.0,4.0,4.0,22.0,B,,,102.0,C,No AI,0.21568627450980393
1bcba07e11b7af99,7.0,7.0,6.0,6.0,6.0,32.0,A-,,,85.0,B,Vincent,0.3764705882352941
4c56c0d8e61ed412,6.0,7.0,6.0,6.0,6.0,31.0,A-,,,120.0,C,No AI,0.25833333333333336
3d53c1b0295b9a26,7.0,6.0,6.0,6.0,6.0,31.0,A-,,,90.0,A,GPT 01,0.34444444444444444
544af5e3f23bd87a,5.0,5.0,5.0,5.0,6.0,26.0,B+,,,49.0,B,Vincent,0.5306122448979592
f3ca044a6fc18861,,,,,,,,,,,C,No AI,
ad4e0a23d55a9bc2,6.0,5.0,5.0,6.0,5.0,27.0,B+,,,92.0,C,No AI,0.29347826086956524
9109b13b11fd7782,5.0,5.0,4.0,4.0,4.0,22.0,B,,,120.0,A,GPT 01,0.18333333333333332
6a370e860ed24357,7.0,7.0,7.0,6.0,6.0,33.0,A,,,120.0,C,No AI,0.275
5c031f15ede898cb,,,,,,,,,,,C,No AI,
8f7e1a35f9425a0e,,,,,,,,,,,B,Vincent,
13b6a1020ad46272,5.0,7.0,6.0,6.0,6.0,30.0,A-,,,15.0,B,Vincent,2.0
7c4f2cdf9a7ba025,6.0,5.0,5.0,5.0,5.0,26.0,B+,,,20.0,B,Vincent,1.3
c55ed9175b0738c2,,,,,,,,,,,B,Vincent,
33c5096295ad6e13,,,,,,,,,,,C,No AI,
b382a87f990db71a,,,,,,,,,,,C,No AI,
e0586dd6ba414274,6.0,6.0,6.0,6.0,7.0,31.0,A-,,,113.0,A,GPT 01,0.2743362831858407
7e107a9c0ebdc482,7.0,7.0,6.0,6.0,7.0,33.0,A,,,118.0,C,No AI,0.2796610169491525
2bfdab79d93e7bce,7.0,6.0,6.0,6.0,6.0,31.0,A-,,,70.0,B,Vincent,0.44285714285714284
f4534ca99db52354,,,,,,,,,,,B,Vincent,
889b30f2a988ff0a,5.0,5.0,5.0,5.0,5.0,25.0,B+,,,81.0,B,Vincent,0.30864197530864196
efbfc0f029c0ac5f,7.0,7.0,5.0,6.0,7.0,32.0,A-,,,120.0,C,No AI,0.26666666666666666
1532b47abfa256d4,5.0,5.0,5.0,5.0,6.0,26.0,B+,,,97.0,B,Vincent,0.26804123711340205
824bb66524753233,5.0,4.0,3.0,3.0,2.0,17.0,B,,,120.0,C,No AI,0.14166666666666666
f89651d646f1ab95,7.0,6.0,6.0,6.0,7.0,32.0,A-,,,60.0,A,GPT 01,0.5333333333333333
02a6298460b477ce,6.0,5.0,5.0,5.0,4.0,25.0,B+,,,120.0,B,Vincent,0.20833333333333334
3b79cd5d4dc9545c,6.0,5.0,5.0,5.0,5.0,26.0,B+,,,100.0,C,No AI,0.26
d43b490ad3b330c7,,,,,,,,,,,B,Vincent,
81703482b559611e,5.0,4.0,4.0,4.0,5.0,22.0,B,,,34.0,B,Vincent,0.6470588235294118
8b3794f02b5e4db5,5.0,5.0,5.0,6.0,5.0,26.0,B+,,,118.0,C,No AI,0.22033898305084745
79d436c6314eda33,4.0,5.0,6.0,5.0,6.0,26.0,B+,,,25.0,A,GPT 01,1.04
9be12b158467797d,5.0,5.0,5.0,4.0,6.0,25.0,B+,,,100.0,C,No AI,0.25
820ef4cb24626154,4.0,4.0,4.0,4.0,5.0,21.0,B,,,55.0,B,Vincent,0.38181818181818183
b342e13cf1dcabea,5.0,5.0,3.0,4.0,3.0,20.0,B,,,120.0,C,No AI,0.16666666666666666
bfd51df7115d0bee,5.0,5.0,7.0,7.0,7.0,31.0,A-,,,81.0,B,Vincent,0.38271604938271603
8fd8eb1d02d74b73,7.0,6.0,7.0,7.0,7.0,34.0,A,,,20.0,A,GPT 01,1.7
60f4a10cf0e76952,5.0,6.0,5.0,6.0,5.0,27.0,B+,,,36.0,A,GPT 01,0.75
f7b9fdfc04c988ab,6.0,5.0,6.0,6.0,6.0,29.0,A-,,,69.0,A,GPT 01,0.42028985507246375
446f96dc3003002c,6.0,6.0,6.0,6.0,6.0,30.0,A-,,,120.0,A,GPT 01,0.25
d2aff30970fe0d4c,3.0,2.0,3.0,3.0,3.0,14.0,B-,,,120.0,C,No AI,0.11666666666666667
7f1b0f735e644984,4.0,4.0,3.0,3.0,5.0,19.0,B,,,45.0,B,Vincent,0.4222222222222222
742df284c8614f30,3.0,2.0,2.0,2.0,2.0,11.0,C+,,,120.0,C,No AI,0.09166666666666666
8cdf78ab6a3a812f,,,,,,,,,,,B,Vincent,
9ee9f3b5b5934e01,2.0,2.0,2.0,2.0,3.0,11.0,C+,,,60.0,B,Vincent,0.18333333333333332
af90ee0cf16ffd33,6.0,5.0,5.0,5.0,6.0,27.0,B+,,,120.0,C,No AI,0.225
2c2689aba2638d95,,,,,,,,,,,A,GPT 01,
ce5032424903d61d,6.0,4.0,5.0,6.0,6.0,27.0,B+,,,70.0,B,Vincent,0.38571428571428573
1d27419a27bc132a,6.0,4.0,6.0,5.0,6.0,27.0,B+,,,73.0,B,Vincent,0.3698630136986301
68c3cbbda9ab9909,7.0,6.0,6.0,6.0,7.0,32.0,A-,,,90.0,B,Vincent,0.35555555555555557
475d59d3b81d4bac,5.0,5.0,5.0,5.0,5.0,25.0,B+,,,100.0,A,GPT 01,0.25
ef03ab8ccbaa668b,,,,,,,,,,,C,No AI,
dd5b4506ccb8edff,4.0,5.0,6.0,6.0,6.0,27.0,B+,,,120.0,B,Vincent,0.225
2cd520fd07667404,5.0,7.0,7.0,7.0,6.0,32.0,A-,,,45.0,B,Vincent,0.7111111111111111
e5515ac0c0f126c6,5.0,5.0,5.0,5.0,5.0,25.0,B+,,,48.0,A,GPT 01,0.5208333333333334
