Student_Number,P4_Criteria_1_Accuracy,P4_Criteria_2_Analysis,P4_Criteria_3_Organization,P4_Criteria_4_Clarity,P4_Criteria_5_Professionalism,P4_Total_Score,P4_Grade,P4_Hallucination,P4_Notes,Time_Spent_Assignment_4,Group,AI_Condition,P4_Productivity
c1f9916910cd4128,5.0,4.0,6.0,6.0,6.0,27.0,B+,,,90.0,C,Vincent,0.3
7316aefcd59a0b74,5.0,4.0,6.0,6.0,5.0,26.0,B+,,,45.0,A,No AI,0.5777777777777777
1167a8417b14a001,5.0,6.0,5.0,5.0,6.0,27.0,B+,,,88.0,A,No AI,0.3068181818181818
5eb1b92aee244e2a,7.0,7.0,6.0,6.0,6.0,32.0,A-,,,125.0,A,No AI,0.256
065a189f3e847a38,6.0,5.0,5.0,6.0,5.0,27.0,B+,,,180.0,A,No AI,0.15
865d47f31de717c9,6.0,5.0,4.0,5.0,5.0,25.0,B+,,,25.0,C,Vincent,1.0
1777a66aff697497,6.0,5.0,5.0,5.0,5.0,26.0,B+,,,150.0,C,Vincent,0.1733333333333333
6ec4e59da50d8f3a,4.0,4.0,4.0,4.0,5.0,21.0,B,,,85.0,B,GPT 01,0.2470588235294117
4fdc1cc6f372410e,4.0,4.0,5.0,5.0,6.0,24.0,B+,,,155.0,A,No AI,0.1548387096774193
ddbc5bb6018f9e0f,5.0,4.0,5.0,5.0,6.0,25.0,B+,,,35.0,C,Vincent,0.7142857142857143
1bcba07e11b7af99,6.0,5.0,6.0,6.0,7.0,30.0,A-,,,90.0,B,GPT 01,0.3333333333333333
4c56c0d8e61ed412,5.0,4.0,5.0,5.0,6.0,25.0,B+,,,110.0,C,Vincent,0.2272727272727272
3d53c1b0295b9a26,6.0,5.0,5.0,5.0,6.0,27.0,B+,,,120.0,A,No AI,0.225
544af5e3f23bd87a,6.0,5.0,5.0,5.0,6.0,27.0,B+,,,86.0,B,GPT 01,0.313953488372093
ad4e0a23d55a9bc2,6.0,5.0,6.0,6.0,7.0,30.0,A-,,,45.0,C,Vincent,0.6666666666666666
9109b13b11fd7782,6.0,5.0,6.0,5.0,4.0,26.0,B+,,,86.0,A,No AI,0.3023255813953488
6a370e860ed24357,6.0,6.0,7.0,6.0,7.0,32.0,A-,,,118.0,C,Vincent,0.2711864406779661
13b6a1020ad46272,5.0,6.0,5.0,5.0,5.0,26.0,B+,,,90.0,B,GPT 01,0.2888888888888888
7c4f2cdf9a7ba025,5.0,4.0,4.0,4.0,5.0,22.0,B,,,30.0,B,GPT 01,0.7333333333333333
c55ed9175b0738c2,4.0,4.0,6.0,5.0,7.0,26.0,B+,,,124.0,B,GPT 01,0.2096774193548387
e0586dd6ba414274,6.0,5.0,5.0,5.0,6.0,27.0,B+,,,100.0,A,No AI,0.27
7e107a9c0ebdc482,6.0,5.0,5.0,5.0,6.0,27.0,B+,,,56.0,C,Vincent,0.4821428571428571
2bfdab79d93e7bce,5.0,4.0,4.0,4.0,5.0,22.0,B,,,20.0,B,GPT 01,1.1
889b30f2a988ff0a,5.0,5.0,6.0,5.0,6.0,27.0,B+,,,59.0,B,GPT 01,0.4576271186440678
efbfc0f029c0ac5f,5.0,4.0,4.0,5.0,4.0,22.0,B,,,60.0,C,Vincent,0.3666666666666666
1532b47abfa256d4,6.0,6.0,6.0,6.0,7.0,31.0,A-,,,65.0,B,GPT 01,0.4769230769230769
824bb66524753233,4.0,4.0,4.0,5.0,4.0,21.0,B,,,15.0,C,Vincent,1.4
f89651d646f1ab95,6.0,5.0,5.0,5.0,6.0,27.0,B+,,,90.0,A,No AI,0.3
02a6298460b477ce,6.0,6.0,6.0,6.0,6.0,30.0,A-,,,97.0,B,GPT 01,0.3092783505154639
3b79cd5d4dc9545c,6.0,5.0,5.0,5.0,6.0,27.0,B+,,,40.0,C,Vincent,0.675
81703482b559611e,6.0,5.0,5.0,5.0,6.0,27.0,B+,,,65.0,B,GPT 01,0.4153846153846154
8b3794f02b5e4db5,5.0,5.0,5.0,5.0,5.0,25.0,B+,,,43.0,C,Vincent,0.5813953488372093
79d436c6314eda33,6.0,5.0,5.0,5.0,4.0,25.0,B+,,,180.0,A,No AI,0.1388888888888889
9be12b158467797d,6.0,5.0,5.0,5.0,6.0,27.0,B+,,,40.0,C,Vincent,0.675
820ef4cb24626154,7.0,6.0,6.0,7.0,7.0,33.0,A,,,85.0,B,GPT 01,0.388235294117647
b342e13cf1dcabea,4.0,3.0,4.0,4.0,5.0,20.0,B,,,65.0,C,Vincent,0.3076923076923077
bfd51df7115d0bee,6.0,6.0,5.0,6.0,7.0,30.0,A-,,,75.0,B,GPT 01,0.4
8fd8eb1d02d74b73,6.0,6.0,5.0,6.0,7.0,30.0,A-,,,180.0,A,No AI,0.1666666666666666
60f4a10cf0e76952,6.0,6.0,6.0,6.0,7.0,31.0,A-,,,56.0,A,No AI,0.5535714285714286
f7b9fdfc04c988ab,5.0,4.0,4.0,4.0,4.0,21.0,B,,,113.0,A,No AI,0.1858407079646017
446f96dc3003002c,6.0,5.0,5.0,5.0,6.0,27.0,B+,,,97.0,A,No AI,0.2783505154639175
d2aff30970fe0d4c,6.0,5.0,6.0,6.0,7.0,30.0,A-,,,118.0,C,Vincent,0.2542372881355932
7f1b0f735e644984,6.0,5.0,5.0,5.0,6.0,27.0,B+,,,48.0,B,GPT 01,0.5625
742df284c8614f30,5.0,4.0,5.0,4.0,4.0,22.0,B,,,180.0,C,Vincent,0.1222222222222222
9ee9f3b5b5934e01,5.0,2.0,4.0,4.0,2.0,17.0,B-,,,90.0,B,GPT 01,0.1888888888888888
af90ee0cf16ffd33,5.0,5.0,5.0,5.0,6.0,26.0,B+,,,76.0,C,Vincent,0.3421052631578947
ce5032424903d61d,6.0,6.0,5.0,5.0,5.0,27.0,B+,,,105.0,B,GPT 01,0.2571428571428571
1d27419a27bc132a,7.0,7.0,6.0,7.0,7.0,34.0,A,,,45.0,B,GPT 01,0.7555555555555555
68c3cbbda9ab9909,5.0,5.0,5.0,5.0,5.0,25.0,B+,,,180.0,B,GPT 01,0.1388888888888889
475d59d3b81d4bac,6.0,5.0,5.0,5.0,6.0,27.0,B+,,,170.0,A,No AI,0.1588235294117647
dd5b4506ccb8edff,6.0,5.0,5.0,5.0,6.0,27.0,B+,,,165.0,B,GPT 01,0.1636363636363636
2cd520fd07667404,4.0,4.0,5.0,4.0,5.0,22.0,B,,,35.0,B,GPT 01,0.6285714285714286
e5515ac0c0f126c6,6.0,6.0,6.0,6.0,6.0,30.0,A-,,,65.0,A,No AI,0.4615384615384615
7eb33ecb29043786,3.0,3.0,2.0,2.0,2.0,12.0,C+,,,75.0,B,GPT 01,0.16
7d228f6d656337bb,7.0,6.0,4.0,5.0,5.0,27.0,B+,,,36.0,B,GPT 01,0.75
cdb181d570ee13d8,7.0,6.0,6.0,6.0,7.0,32.0,A-,,,140.0,A,No AI,0.2285714285714285
e58dc153e9c0e8e4,6.0,5.0,5.0,5.0,5.0,26.0,B+,,,159.0,C,Vincent,0.1635220125786163
f719e16be770c0b8,7.0,6.0,6.0,6.0,6.0,31.0,A-,,,60.0,A,No AI,0.5166666666666667
43f61b7cd08cc6c4,7.0,5.0,5.0,5.0,7.0,29.0,A-,,,52.0,C,Vincent,0.5576923076923077
078cae7e345937f3,7.0,6.0,5.0,5.0,6.0,29.0,A-,,,130.0,A,No AI,0.2230769230769231
8a1109561512c218,3.0,2.0,2.0,3.0,3.0,13.0,B-,,,130.0,C,Vincent,0.1
f418aa093c4203e9,6.0,5.0,5.0,5.0,6.0,27.0,B+,,,80.0,A,No AI,0.3375
