Student_Number,P5_Criteria_1_Accuracy,P5_Criteria_2_Analysis,P5_Criteria_3_Organization,P5_Criteria_4_Clarity,P5_Criteria_5_Professionalism,P5_Total_Score,P5_Grade,P5_Hallucination,P5_Hallucination_Note,P5_Notes,Time_Spent_Assignment_5,Group,AI_Condition
c1f9916910cd4128,6.0,6.0,6.0,5.0,7.0,30.0,A-,,,,75.0,C,GPT 01
7316aefcd59a0b74,4.0,4.0,5.0,5.0,3.0,21.0,B,,,,29.0,A,Vincent
1167a8417b14a001,5.0,5.0,6.0,5.0,6.0,27.0,B+,,,,47.0,A,Vincent
ec2ed9ca82601e42,,,,,,,,,,,,A,Vincent
5eb1b92aee244e2a,4.0,4.0,4.0,4.0,5.0,21.0,B,,,,112.0,A,Vincent
065a189f3e847a38,4.0,4.0,4.0,4.0,5.0,21.0,B,,,,98.0,A,Vincent
865d47f31de717c9,4.0,5.0,4.0,5.0,4.0,22.0,B,,,,29.0,C,GPT 01
1777a66aff697497,5.0,5.0,5.0,5.0,6.0,26.0,B+,,,,150.0,C,GPT 01
6ec4e59da50d8f3a,5.0,4.0,2.0,3.0,2.0,16.0,B-,,,,93.0,B,No AI
353f2cb98f3467b5,,,,,,,,,,No Submission,,C,GPT 01
4fdc1cc6f372410e,5.0,4.0,4.0,3.0,5.0,21.0,B,,,,113.0,A,Vincent
ddbc5bb6018f9e0f,4.0,3.0,4.0,3.0,4.0,18.0,B,,,,74.0,C,GPT 01
1bcba07e11b7af99,2.0,2.0,5.0,3.0,3.0,15.0,B-,1,Fabricated Case,,92.0,B,No AI
4c56c0d8e61ed412,5.0,4.0,5.0,4.0,6.0,24.0,B+,,,,122.0,C,GPT 01
3d53c1b0295b9a26,4.0,4.0,4.0,4.0,5.0,21.0,B,,,,40.0,A,Vincent
544af5e3f23bd87a,5.0,4.0,5.0,4.0,5.0,23.0,B+,,,,125.0,B,No AI
f3ca044a6fc18861,,,,,,,,,,No Submission,,C,GPT 01
ad4e0a23d55a9bc2,1.0,2.0,5.0,4.0,4.0,16.0,B-,3,One hallucinations was a citation for a different case name. The other two were fabricated cases.),,50.0,C,GPT 01
9109b13b11fd7782,3.0,3.0,5.0,4.0,3.0,18.0,B,,,,67.0,A,Vincent
6a370e860ed24357,6.0,5.0,6.0,4.0,6.0,27.0,B+,,,,107.0,C,GPT 01
5c031f15ede898cb,,,,,,,,,,,,C,GPT 01
8f7e1a35f9425a0e,,,,,,,,,,,,B,No AI
13b6a1020ad46272,1.0,1.0,2.0,2.0,1.0,7.0,C,,,,28.0,B,No AI
7c4f2cdf9a7ba025,2.0,1.0,1.0,2.0,1.0,7.0,C,,,,150.0,B,No AI
c55ed9175b0738c2,5.0,5.0,6.0,4.0,6.0,26.0,B+,,,,113.0,B,No AI
33c5096295ad6e13,,,,,,,,,,,,C,GPT 01
b382a87f990db71a,,,,,,,,,,,,C,GPT 01
e0586dd6ba414274,4.0,5.0,6.0,4.0,6.0,25.0,B+,,,,150.0,A,Vincent
7e107a9c0ebdc482,6.0,6.0,6.0,6.0,6.0,30.0,A-,,,,70.0,C,GPT 01
2bfdab79d93e7bce,4.0,2.0,2.0,2.0,1.0,11.0,C+,,,Only wrote 211 words,20.0,B,No AI
f4534ca99db52354,,,,,,,,,,,,B,No AI
889b30f2a988ff0a,4.0,3.0,2.0,3.0,3.0,15.0,B-,1,Fabricated Case,,53.0,B,No AI
efbfc0f029c0ac5f,5.0,4.0,5.0,4.0,5.0,23.0,B+,,,,110.0,C,GPT 01
1532b47abfa256d4,5.0,3.0,2.0,2.0,2.0,14.0,B-,,,,58.0,B,No AI
824bb66524753233,3.0,3.0,3.0,4.0,2.0,15.0,B-,,,,90.0,C,GPT 01
f89651d646f1ab95,5.0,5.0,5.0,5.0,5.0,25.0,B+,,,,120.0,A,Vincent
02a6298460b477ce,4.0,4.0,3.0,3.0,6.0,20.0,B,,,,134.0,B,No AI
3b79cd5d4dc9545c,5.0,5.0,5.0,4.0,5.0,24.0,B+,,,,75.0,C,GPT 01
d43b490ad3b330c7,,,,,,,,,,,,B,No AI
81703482b559611e,2.0,4.0,5.0,4.0,5.0,20.0,B,,,,80.0,B,No AI
8b3794f02b5e4db5,6.0,5.0,6.0,4.0,6.0,27.0,B+,,,,37.0,C,GPT 01
79d436c6314eda33,1.0,1.0,2.0,2.0,1.0,7.0,C,,,,120.0,A,Vincent
9be12b158467797d,3.0,3.0,4.0,4.0,2.0,16.0,B-,,,,45.0,C,GPT 01
820ef4cb24626154,5.0,4.0,4.0,3.0,4.0,20.0,B,,,,95.0,B,No AI
b342e13cf1dcabea,5.0,5.0,5.0,5.0,5.0,25.0,B+,,,,85.0,C,GPT 01
bfd51df7115d0bee,4.0,4.0,2.0,3.0,2.0,15.0,B-,,,,65.0,B,No AI
8fd8eb1d02d74b73,3.0,3.0,5.0,4.0,4.0,19.0,B,,,,35.0,A,Vincent
60f4a10cf0e76952,5.0,5.0,6.0,5.0,5.0,26.0,B+,,,,76.0,A,Vincent
f7b9fdfc04c988ab,5.0,4.0,5.0,4.0,5.0,23.0,B+,,,,70.0,A,Vincent
446f96dc3003002c,4.0,4.0,6.0,4.0,3.0,21.0,B,,,,90.0,A,Vincent
d2aff30970fe0d4c,3.0,3.0,5.0,4.0,4.0,19.0,B,2,Fabricated cases,,68.0,C,GPT 01
7f1b0f735e644984,4.0,5.0,4.0,4.0,5.0,22.0,B,,,,118.0,B,No AI
742df284c8614f30,5.0,4.0,5.0,5.0,5.0,24.0,B+,,,,57.0,C,GPT 01
8cdf78ab6a3a812f,,,,,,,,,,,,B,No AI
9ee9f3b5b5934e01,3.0,2.0,2.0,3.0,1.0,11.0,C+,,,,120.0,B,No AI
af90ee0cf16ffd33,4.0,5.0,5.0,5.0,6.0,25.0,B+,,,,83.0,C,GPT 01
2c2689aba2638d95,,,,,,,,,,,,A,Vincent
ce5032424903d61d,4.0,4.0,3.0,4.0,2.0,17.0,B-,,,,55.0,B,No AI
1d27419a27bc132a,3.0,3.0,2.0,4.0,2.0,14.0,B-,,,,150.0,B,No AI
68c3cbbda9ab9909,3.0,3.0,2.0,2.0,2.0,12.0,C+,,,,150.0,B,No AI
475d59d3b81d4bac,5.0,3.0,2.0,4.0,2.0,16.0,B-,,,,120.0,A,Vincent
ef03ab8ccbaa668b,,,,,,,,,,,,C,GPT 01
dd5b4506ccb8edff,4.0,4.0,3.0,3.0,3.0,17.0,B-,,,,150.0,B,No AI
2cd520fd07667404,5.0,5.0,5.0,5.0,5.0,25.0,B+,,,,120.0,B,No AI
e5515ac0c0f126c6,4.0,4.0,3.0,3.0,3.0,17.0,B-,,,,90.0,A,Vincent
7eb33ecb29043786,6.0,4.0,4.0,5.0,4.0,23.0,B,,,,67.0,B,No AI
7d228f6d656337bb,5.0,3.0,3.0,4.0,3.0,18.0,B,,,,24.0,B,No AI
cdb181d570ee13d8,5.0,5.0,5.0,5.0,5.0,25.0,B+,,,,129.0,A,Vincent
1a20cabcd1a8d41b,,,,,,,,,,,,C,GPT 01
e58dc153e9c0e8e4,5.0,5.0,5.0,5.0,5.0,25.0,B+,,,,92.0,C,GPT 01
f719e16be770c0b8,1.0,2.0,2.0,2.0,1.0,8.0,C+,,,,60.0,A,Vincent
43f61b7cd08cc6c4,6.0,6.0,6.0,5.0,5.0,28.0,A-,,,,75.0,C,GPT 01
078cae7e345937f3,5.0,4.0,3.0,4.0,2.0,18.0,B,,,,120.0,A,Vincent
8a1109561512c218,4.0,5.0,6.0,4.0,6.0,25.0,B+,1,fabricated case,,140.0,C,GPT 01
f418aa093c4203e9,4.0,4.0,3.0,4.0,4.0,19.0,B,,,,101.0,A,Vincent
2657ee4bf9f4af9e,5.0,5.0,5.0,4.0,5.0,24.0,B+,,,,118.0,B,No AI
aa1baebc4a1d7593,5.0,4.0,5.0,5.0,6.0,25.0,B+,,,,60.0,C,GPT 01
191cebe1180b87c5,2.0,2.0,3.0,3.0,3.0,13.0,B-,,,,150.0,B,No AI
57704d5ad8b677c6,,,,,,,,,,,,A,Vincent
66f7ab8e6000f22a,5.0,5.0,4.0,5.0,6.0,25.0,B+,,,,124.0,A,Vincent
61cf76867144f7f2,5.0,5.0,6.0,5.0,6.0,27.0,B+,,,,42.0,C,GPT 01
8a8a16cd60695e63,3.0,5.0,5.0,3.0,5.0,21.0,B,2,One hallucination was the right citation but the wrong case name. The other was a fabricated case.,,135.0,C,GPT 01
8917388e20196b3b,3.0,4.0,5.0,4.0,5.0,21.0,B,1,Fabricated case.,,50.0,A,Vincent
4a4289064cdbdc09,,,,,,,,,,,,A,Vincent
8b9bdb0a143ba05b,4.0,4.0,4.0,4.0,5.0,21.0,B,,,,60.0,C,GPT 01
2cf399b1e4b8218b,,,,,,,,,,,,A,Vincent
97fba5cb44daf59a,5.0,4.0,4.0,3.0,5.0,21.0,B,,,,68.0,A,Vincent
8873cf8f31074e16,5.0,5.0,5.0,4.0,4.0,23.0,B+,,,,90.0,A,Vincent
724b54dabebd5f65,,,,,,,,,,,,A,Vincent
4b83c41e5327c306,,,,,,,,,,,,B,No AI
430c3b797887e240,3.0,4.0,4.0,4.0,4.0,19.0,B,,,,70.0,A,Vincent
33801e2d42ffddfc,2.0,2.0,4.0,4.0,3.0,15.0,B-,1,"Citation was simply to the docket, not a decision in the case.",,75.0,A,Vincent
7dd7e803832f1b53,4.0,4.0,4.0,3.0,4.0,19.0,B,,,,126.0,B,No AI
8e8ec402ff41e278,4.0,4.0,6.0,5.0,6.0,25.0,B+,1,Hallucinated citation is to a case with a different name and court (California).,,55.0,A,Vincent
29041031c3d5738c,3.0,3.0,3.0,4.0,4.0,17.0,B-,,,,150.0,C,GPT 01
1f60b1ad89313d0d,4.0,5.0,6.0,4.0,6.0,25.0,B+,1,Correct case but wrong year.,,100.0,B,No AI
421124a6a4ec2792,3.0,2.0,2.0,2.0,2.0,11.0,C+,,,,75.0,B,No AI
26f3d54698dd2636,1.0,1.0,1.0,3.0,1.0,7.0,C,,,,150.0,B,No AI
f3e93859c85d9caf,0.0,0.0,0.0,2.0,0.0,2.0,D,,,,34.0,A,Vincent
7fb6a95e77f2886e,2.0,4.0,6.0,4.0,3.0,19.0,B,,,,80.0,A,Vincent
069503ef9c782673,5.0,5.0,4.0,4.0,4.0,22.0,B,,,,140.0,B,No AI
4145e4dd01e45431,6.0,4.0,5.0,4.0,5.0,24.0,B+,,,,141.0,A,Vincent
a6a04fd22939f38a,2.0,1.0,2.0,2.0,1.0,8.0,C+, ,,,60.0,B,No AI
237698639e9c4d30,1.0,1.0,0.0,1.0,0.0,3.0,C,,,,65.0,A,Vincent
2da3540d563c6034,2.0,2.0,3.0,3.0,2.0,12.0,C+,,,,28.0,A,Vincent
70204533c2ea64a7,,,,,,,,,,,,C,GPT 01
f9afd8e31ee8a875,3.0,2.0,3.0,4.0,2.0,14.0,B-,,,,41.0,A,Vincent
e08dd06e4e008462,2.0,2.0,3.0,2.0,2.0,11.0,B-,1,Fabricated case,,55.0,C,GPT 01
5e4dc1276a5cbfd1,3.0,4.0,5.0,3.0,4.0,19.0,B-,,,,28.0,C,GPT 01
de22252a67fcc399,3.0,3.0,3.0,4.0,5.0,18.0,B,,,,75.0,C,GPT 01
