,Student_Number,AI_Condition,Group,Outcome,Score,Task,avg_z
0,c1f9916910cd4128,Vincent,C,Accuracy,2.0,P1,-0.13134398853872298
1,7316aefcd59a0b74,No AI,A,Accuracy,2.0,P1,-0.6013533673255389
2,1167a8417b14a001,No AI,A,Accuracy,6.0,P1,0.9133368818027643
3,5eb1b92aee244e2a,No AI,A,Accuracy,2.0,P1,0.18435513761480438
4,065a189f3e847a38,No AI,A,Accuracy,5.0,P1,0.3903489769316162
5,865d47f31de717c9,Vincent,C,Accuracy,1.0,P1,-0.18591855481000075
6,1777a66aff697497,Vincent,C,Accuracy,5.0,P1,-0.1821908087093267
7,6ec4e59da50d8f3a,GPT 01,B,Accuracy,2.0,P1,-0.25312636184743775
8,4fdc1cc6f372410e,No AI,A,Accuracy,6.0,P1,0.3570489090603589
9,ddbc5bb6018f9e0f,Vincent,C,Accuracy,4.0,P1,-0.7374426781755852
10,1bcba07e11b7af99,GPT 01,B,Accuracy,6.0,P1,0.6579116360115216
11,4c56c0d8e61ed412,Vincent,C,Accuracy,6.0,P1,1.1571236209909068
12,3d53c1b0295b9a26,No AI,A,Accuracy,2.0,P1,-0.06726543983063839
13,544af5e3f23bd87a,GPT 01,B,Accuracy,2.0,P1,0.8347211699773922
14,f3ca044a6fc18861,Vincent,C,Accuracy,4.0,P1,
15,ad4e0a23d55a9bc2,Vincent,C,Accuracy,5.0,P1,-0.24015771477157025
16,9109b13b11fd7782,No AI,A,Accuracy,5.0,P1,0.18312848998118322
17,6a370e860ed24357,Vincent,C,Accuracy,6.0,P1,0.9611918325098401
18,5c031f15ede898cb,Vincent,C,Accuracy,5.0,P1,
19,13b6a1020ad46272,GPT 01,B,Accuracy,2.0,P1,-1.9769230803276874
20,7c4f2cdf9a7ba025,GPT 01,B,Accuracy,7.0,P1,-1.7038091711750942
21,c55ed9175b0738c2,GPT 01,B,Accuracy,6.0,P1,1.538462810665638
22,e0586dd6ba414274,No AI,A,Accuracy,3.0,P1,0.06348153638714865
23,7e107a9c0ebdc482,Vincent,C,Accuracy,6.0,P1,1.6398330063019337
24,2bfdab79d93e7bce,GPT 01,B,Accuracy,3.0,P1,-0.7960626767343792
25,f4534ca99db52354,GPT 01,B,Accuracy,1.0,P1,
26,889b30f2a988ff0a,GPT 01,B,Accuracy,6.0,P1,0.02064584798880434
27,efbfc0f029c0ac5f,Vincent,C,Accuracy,3.0,P1,-0.11304066434506099
28,1532b47abfa256d4,GPT 01,B,Accuracy,1.0,P1,-0.7069996090677951
29,824bb66524753233,Vincent,C,Accuracy,6.0,P1,-1.4198115980683528
30,f89651d646f1ab95,No AI,A,Accuracy,5.0,P1,0.5210959531494033
31,02a6298460b477ce,GPT 01,B,Accuracy,4.0,P1,0.47254419315821483
32,3b79cd5d4dc9545c,Vincent,C,Accuracy,4.0,P1,-0.26558112485687213
33,81703482b559611e,GPT 01,B,Accuracy,1.0,P1,0.017354344570559593
34,8b3794f02b5e4db5,Vincent,C,Accuracy,4.0,P1,-0.3272757770197897
35,79d436c6314eda33,No AI,A,Accuracy,2.0,P1,-0.35095943751371733
36,9be12b158467797d,Vincent,C,Accuracy,5.0,P1,-0.16761523061633873
37,820ef4cb24626154,GPT 01,B,Accuracy,6.0,P1,0.5635821628757459
38,b342e13cf1dcabea,Vincent,C,Accuracy,4.0,P1,-0.4181215853686832
39,bfd51df7115d0bee,GPT 01,B,Accuracy,3.0,P1,0.4758356965764596
40,8fd8eb1d02d74b73,No AI,A,Accuracy,2.0,P1,0.16215509236729947
41,60f4a10cf0e76952,No AI,A,Accuracy,4.0,P1,0.8923634841888806
42,f7b9fdfc04c988ab,No AI,A,Accuracy,4.0,P1,-0.8529739447709817
43,446f96dc3003002c,No AI,A,Accuracy,6.0,P1,0.8479633936938707
44,d2aff30970fe0d4c,Vincent,C,Accuracy,5.0,P1,-0.38557808939174154
45,7f1b0f735e644984,GPT 01,B,Accuracy,4.0,P1,1.0174554100961033
46,742df284c8614f30,Vincent,C,Accuracy,2.0,P1,-1.1404894934397407
47,9ee9f3b5b5934e01,GPT 01,B,Accuracy,1.0,P1,-1.2512525253220346
48,af90ee0cf16ffd33,Vincent,C,Accuracy,6.0,P1,-0.3018523669344879
49,ce5032424903d61d,GPT 01,B,Accuracy,1.0,P1,-0.43586060196614884
50,1d27419a27bc132a,GPT 01,B,Accuracy,4.0,P1,-0.25180976048013987
51,68c3cbbda9ab9909,GPT 01,B,Accuracy,3.0,P1,-0.250493159112842
52,475d59d3b81d4bac,No AI,A,Accuracy,1.0,P1,-0.524879856592893
53,ef03ab8ccbaa668b,Vincent,C,Accuracy,2.0,P1,
54,dd5b4506ccb8edff,GPT 01,B,Accuracy,2.0,P1,0.29244315577409963
55,2cd520fd07667404,GPT 01,B,Accuracy,1.0,P1,0.8334045686100943
56,e5515ac0c0f126c6,No AI,A,Accuracy,1.0,P1,-0.2300858362860616
57,7eb33ecb29043786,GPT 01,B,Accuracy,3.0,P1,0.7436832002598611
58,7d228f6d656337bb,GPT 01,B,Accuracy,1.0,P1,0.3828228248079817
59,cdb181d570ee13d8,No AI,A,Accuracy,2.0,P1,0.24972862572369792
60,1a20cabcd1a8d41b,Vincent,C,Accuracy,6.0,P1,
61,e58dc153e9c0e8e4,Vincent,C,Accuracy,4.0,P1,-0.7520182562685731
62,f719e16be770c0b8,No AI,A,Accuracy,1.0,P1,0.04250813877326487
63,43f61b7cd08cc6c4,Vincent,C,Accuracy,5.0,P1,1.1679714529832208
64,078cae7e345937f3,No AI,A,Accuracy,4.0,P1,0.5432959983969081
65,8a1109561512c218,Vincent,C,Accuracy,3.0,P1,-0.4289694173609971
66,f418aa093c4203e9,No AI,A,Accuracy,1.0,P1,-0.8517472971373605
67,2657ee4bf9f4af9e,GPT 01,B,Accuracy,5.0,P1,0.6519869298586811
68,aa1baebc4a1d7593,Vincent,C,Accuracy,6.0,P1,0.4384834590205234
69,191cebe1180b87c5,GPT 01,B,Accuracy,3.0,P1,-1.2525691266893324
70,66f7ab8e6000f22a,No AI,A,Accuracy,1.0,P1,-0.6124533899492913
71,61cf76867144f7f2,Vincent,C,Accuracy,1.0,P1,0.22424834634579466
72,8a8a16cd60695e63,Vincent,C,Accuracy,2.0,P1,0.8703460241609466
73,8917388e20196b3b,No AI,A,Accuracy,4.0,P1,1.0231104604066676
74,8b9bdb0a143ba05b,Vincent,C,Accuracy,1.0,P1,-1.3255734499284935
75,97fba5cb44daf59a,No AI,A,Accuracy,4.0,P1,-0.38425950538497466
76,8873cf8f31074e16,No AI,A,Accuracy,3.0,P1,-0.9837209209887687
77,724b54dabebd5f65,No AI,A,Accuracy,4.0,P1,0.2169211196340559
78,4b83c41e5327c306,GPT 01,B,Accuracy,2.0,P1,
79,430c3b797887e240,No AI,A,Accuracy,1.0,P1,-2.8487053035426655
80,33801e2d42ffddfc,No AI,A,Accuracy,2.0,P1,0.06348153638714865
81,7dd7e803832f1b53,GPT 01,B,Accuracy,1.0,P1,0.01801264525420855
82,8e8ec402ff41e278,No AI,A,Accuracy,3.0,P1,0.3903489769316162
83,29041031c3d5738c,Vincent,C,Accuracy,4.0,P1,-1.045915938990173
84,1f60b1ad89313d0d,GPT 01,B,Accuracy,3.0,P1,1.5617083263503426
85,421124a6a4ec2792,GPT 01,B,Accuracy,2.0,P1,-1.5243664344746277
86,26f3d54698dd2636,GPT 01,B,Accuracy,2.0,P1,-0.7023915042822525
87,f3e93859c85d9caf,No AI,A,Accuracy,1.0,P1,-0.8739473423848654
88,7fb6a95e77f2886e,No AI,A,Accuracy,2.0,P1,-0.0339653719593811
89,069503ef9c782673,GPT 01,B,Accuracy,3.0,P1,0.8353794706610411
90,4145e4dd01e45431,No AI,A,Accuracy,4.0,P1,0.23740195546632428
91,a6a04fd22939f38a,GPT 01,B,Accuracy,2.0,P1,-1.4313535627061498
92,237698639e9c4d30,No AI,A,Accuracy,4.0,P1,0.5864694412582967
93,2da3540d563c6034,No AI,A,Accuracy,5.0,P1,0.7825899055849773
94,70204533c2ea64a7,Vincent,C,Accuracy,3.0,P1,
95,f9afd8e31ee8a875,No AI,A,Accuracy,3.0,P1,-0.44963299349386815
