task,condition,control,control_sd,row_n,coef,se,pval
1,1,23.56747057271558,10.69732464997614,134,4.965863929240466,6.501076539939908,.4462979901668749
1,3,23.56747057271558,10.69732464997614,134,17.16014732803066,3.210885167700938,3.79322725425e-07
2,1,24.07709545312926,10.02190352732277,124,25.86274194792786,7.23124907917865,.0004850941407848
2,3,24.07709545312926,10.02190352732277,124,19.26924173073437,5.996161997127686,.0016422619391686
3,1,28.55055075425368,9.633999876803518,126,22.07436027913744,6.353131465654378,.0006897657939921
3,3,28.55055075425368,9.633999876803518,126,26.08182764461122,8.804798076019832,.0036145513800944
4,1,67.12351599404978,50.92730690031853,127,3.236641021910271,10.52502034457915,.7589259948246662
4,3,67.12351599404978,50.92730690031853,127,15.71773613049239,13.45190712829505,.2447041977299032
5,1,35.1766242980957,24.04811239517922,127,32.10945963226172,9.919789169958101,.0015228217259135
5,3,35.1766242980957,24.04811239517922,127,17.16014732803066,3.210885167700938,3.79322725425e-07
6,1,28.92553960360014,13.1535268785917,126,38.00991071255413,12.80543842641906,.0035486832605021
6,3,28.92553960360014,13.1535268785917,126,17.16014732803066,3.210885167700938,3.79322725425e-07
