task,condition,control,control_sd,row_n,coef,se,pval
1,1,23.56747057271558,10.69732464997614,134,8.074309042809009,2.800603504242013,.0045893581304981
1,3,23.56747057271558,10.69732464997614,134,12.9558077503718,3.292316656480481,.0001329057430663
2,1,24.07709545312926,10.02190352732277,124,17.69560197114791,5.12965129802089,.000750838992211
2,3,24.07709545312926,10.02190352732277,124,13.81512349995784,4.242106449971406,.0014279913308209
3,1,28.55055075425368,9.633999876803518,126,24.74637232867465,5.665934687962171,.0000249449896176
3,3,28.55055075425368,9.633999876803518,126,32.71372891472768,6.969643015216576,6.54435309222e-06
4,1,67.12351599404978,50.92730690031853,127,6.91964141392297,10.84956791033908,.5247049942933817
4,3,67.12351599404978,50.92730690031853,127,12.57798834648904,12.71788424049439,.3244455793442775
5,1,35.1766242980957,24.04811239517922,127,25.79935098305726,9.312319990401299,.0063932754396102
5,3,35.1766242980957,24.04811239517922,127,13.47714693601741,7.151310061916253,.0616538482646122
6,1,28.92553960360014,13.1535268785917,126,40.6370189697457,13.13363240144181,.0024032836184177
6,3,28.92553960360014,13.1535268785917,126,23.74714480580155,6.4775858546846,.0003540118949435
