task,condition,control,control_sd,row_n,coef,se,pval
1,1,.8383720912212549,.1592199419162165,134,-.0536759827162677,.0592423171527104,.3665403115309471
1,3,.8383720912212549,.1592199419162165,134,-.1692456346205515,.0272901014041585,6.46520585310e-09
2,1,.7608527118383452,.1864612755082808,124,-.1953438983825531,.0583778756183416,.0010632952506422
2,3,.7608527118383452,.1864612755082808,124,-.178700869903175,.0499228620067057,.0004800182595773
3,1,.8925213676232558,.1392307980878085,126,-.2240517161367632,.052279952354014,.0000345638375844
3,3,.8925213676232558,.1392307980878085,126,-.2465468442858467,.0501644851616215,2.55197334993e-06
4,1,.5350129197156707,.2494571830162753,127,-.0206871806980218,.0546449114612635,.7056028370090109
4,3,.5350129197156707,.2494571830162753,127,-.0638008513545298,.0577035821319026,.2708525570607448
5,1,.6386666685342789,.2743094155271953,127,-.2108744990754454,.0506772821352122,.0000562724071247
5,3,.6386666685342789,.2743094155271953,127,-.1692456346205515,.0272901014041585,6.46520585310e-09
6,1,.7381196595155276,.2385577943790814,126,-.1631018056467785,.05218550816627,.002177288569516
6,3,.7381196595155276,.2385577943790814,126,-.1692456346205515,.0272901014041585,6.46520585310e-09
