task,condition,control,control_sd,row_n,coef,se,pval
1,1,.8383720912212549,.1592199419162165,134,-.1018472708934959,.0380926299606052,.0084357432112336
1,3,.8383720912212549,.1592199419162165,134,-.1179175446829899,.0431969333576235,.0071898203718407
2,1,.7608527118383452,.1864612755082808,124,-.0997415996319358,.051415178313124,.0544893931879372
2,3,.7608527118383452,.1864612755082808,124,-.1192852531292648,.0479893106053431,.0141614831878029
3,1,.8925213676232558,.1392307980878085,126,-.2493043123662792,.0477669538816349,6.67693417965e-07
3,3,.8925213676232558,.1392307980878085,126,-.3292637892015331,.0436793327452381,6.41093152286e-12
4,1,.5350129197156707,.2494571830162753,127,-.0739018099291066,.0518063074834581,.156049197299817
4,3,.5350129197156707,.2494571830162753,127,-.030312067014373,.059010936011516,.6083296424685753
5,1,.6386666685342789,.2743094155271953,127,-.1280683761987933,.0561709294211613,.0241885497541821
5,3,.6386666685342789,.2743094155271953,127,-.1160310053894689,.0544052333188098,.0347711267569268
6,1,.7381196595155276,.2385577943790814,126,-.1926932992923457,.0522274953818002,.0003256765378135
6,3,.7381196595155276,.2385577943790814,126,-.2563014769522881,.0549922514498882,7.51638389923e-06
