task,condition,control,control_sd,row_n,coef,se,pval
1,1,19.34090909090909,7.736783725175985,135,1.829303675048153,1.440525036505451,.2062934487587288
1,3,19.34090909090909,7.736783725175985,135,3.431818181818041,1.515770732690978,.0251521058503624
2,1,17.30232558139535,5.557212746559239,125,3.595110316040578,1.144700091808141,.0020685434529597
2,3,17.30232558139535,5.557212746559239,125,1.883720930232588,1.163487110594186,.1077574597963886
3,1,24.4,5.8124534737592,127,2.483720930232568,1.210310868347854,.0420748562743674
3,3,24.4,5.8124534737592,127,1.940909090909101,1.101047034664853,.0801829943631353
4,1,26.3953488372093,3.566641309770039,127,-1.106459948320385,.8649012862934004,.2029731271341085
4,3,26.3953488372093,3.566641309770039,127,.066189624329184,.8259547292297064,.9362460115910389
5,1,17.48888888888889,5.594730565542018,127,4.921367521367545,1.082455708772366,.00001193982047
5,3,17.48888888888889,5.594730565542018,127,2.092506459948345,1.247698626255732,.0958213046346634
6,1,19.56410256410257,8.210374925072326,126,4.087060226595119,1.564638130028828,.0100088758404771
6,3,19.56410256410257,8.210374925072326,126,-1.745920745920741,1.701583471425125,.3066864796378169
